produto_id,nome,categoria,subcategoria,marca,preco_atual,preco_original,em_estoque,avaliacao_media,total_avaliacoes,url_imagem,data_cadastro,ativo
1,Apple Carregador Turbo Classic,Eletrônicos,Acessórios,Apple,1491.48,1491.48,True,,0,https://cdn.marketplace.com.br/img/1.jpg,2025-06-28 00:00:00+00:00,True
2,Motorola MatePad Lite,Eletrônicos,Tablets,Motorola,2289.66,2982.35,True,3.3,1364,https://cdn.marketplace.com.br/img/2.jpg,2025-10-02 00:00:00+00:00,True
3,LG Headset Pro,Eletrônicos,Áudio,LG,1330.86,1330.86,True,3.6,1414,https://cdn.marketplace.com.br/img/3.jpg,2025-11-09 00:00:00+00:00,True
4,Apple Aspire Plus,Eletrônicos,Notebooks,Apple,2005.89,2005.89,True,4.4,1276,https://cdn.marketplace.com.br/img/4.jpg,2025-06-26 00:00:00+00:00,True
5,LG Notebook Elite i5,Eletrônicos,Notebooks,LG,1429.41,1815.83,True,,0,https://cdn.marketplace.com.br/img/5.jpg,2025-12-18 00:00:00+00:00,False
6,Samsung Moto GElite,Eletrônicos,Smartphones,Samsung,77.23,77.23,True,2.3,1699,https://cdn.marketplace.com.br/img/6.jpg,2025-03-19 00:00:00+00:00,True
7,Samsung Aspire Prime,Eletrônicos,Notebooks,Samsung,4257.59,4257.59,True,,0,https://cdn.marketplace.com.br/img/7.jpg,2025-11-01 00:00:00+00:00,True
8,Xiaomi Tab SMax,Eletrônicos,Tablets,Xiaomi,641.89,641.89,True,5.0,871,https://cdn.marketplace.com.br/img/8.jpg,2025-03-25 00:00:00+00:00,True
9,Motorola Notebook Max i5,Eletrônicos,Notebooks,Motorola,205.47,205.47,True,4.1,96,https://cdn.marketplace.com.br/img/9.jpg,2025-05-25 00:00:00+00:00,True
10,JBL Tab SPrime,Eletrônicos,Tablets,JBL,996.01,1484.17,True,4.5,1052,https://cdn.marketplace.com.br/img/10.jpg,2025-09-16 00:00:00+00:00,True
11,Apple MatePad Classic,Eletrônicos,Tablets,Apple,1431.77,1624.02,True,4.1,628,https://cdn.marketplace.com.br/img/11.jpg,2025-05-14 00:00:00+00:00,True
12,Samsung iPad Ultra,Eletrônicos,Tablets,Samsung,3048.91,3477.46,False,4.0,1716,https://cdn.marketplace.com.br/img/12.jpg,2025-09-11 00:00:00+00:00,True
13,Sony Capinha Plus,Eletrônicos,Acessórios,Sony,2326.59,3575.64,True,2.6,2,https://cdn.marketplace.com.br/img/13.jpg,2025-08-25 00:00:00+00:00,False
14,Samsung Redmi Note Plus,Eletrônicos,Smartphones,Samsung,2678.03,2678.03,True,3.2,1208,https://cdn.marketplace.com.br/img/14.jpg,2025-09-01 00:00:00+00:00,True
15,Motorola Caixa de Som Neo,Eletrônicos,Áudio,Motorola,2024.08,2024.08,True,3.9,1225,https://cdn.marketplace.com.br/img/15.jpg,2025-08-31 00:00:00+00:00,True
16,Motorola MatePad Lite,Eletrônicos,Tablets,Motorola,132.01,132.01,True,3.0,929,https://cdn.marketplace.com.br/img/16.jpg,2025-08-27 00:00:00+00:00,True
17,Motorola Tab SClassic,Eletrônicos,Tablets,Motorola,1084.8,1084.8,True,4.2,263,https://cdn.marketplace.com.br/img/17.jpg,2025-04-25 00:00:00+00:00,True
18,Motorola Cabo USB-C Plus,Eletrônicos,Acessórios,Motorola,4981.36,4981.36,True,3.7,1257,https://cdn.marketplace.com.br/img/18.jpg,2025-09-25 00:00:00+00:00,True
19,Sony Película Pro,Eletrônicos,Acessórios,Sony,2910.04,3227.96,False,3.9,1876,https://cdn.marketplace.com.br/img/19.jpg,2025-04-23 00:00:00+00:00,True
20,Samsung Tab SPlus,Eletrônicos,Tablets,Samsung,845.9,845.9,True,2.8,161,https://cdn.marketplace.com.br/img/20.jpg,2025-10-26 00:00:00+00:00,True
21,LG Capinha Pro,Eletrônicos,Acessórios,LG,1574.8,1574.8,True,4.3,470,https://cdn.marketplace.com.br/img/21.jpg,2025-12-11 00:00:00+00:00,True
22,Xiaomi Caixa de Som Elite,Eletrônicos,Áudio,Xiaomi,3174.04,3174.04,True,3.6,453,https://cdn.marketplace.com.br/img/22.jpg,2025-02-19 00:00:00+00:00,True
23,Samsung Moto GUltra,Eletrônicos,Smartphones,Samsung,4423.2,4423.2,True,5.0,1373,https://cdn.marketplace.com.br/img/23.jpg,2025-03-06 00:00:00+00:00,True
24,Motorola Pixel Ultra,Eletrônicos,Smartphones,Motorola,800.32,994.91,False,4.7,1347,https://cdn.marketplace.com.br/img/24.jpg,2025-01-07 00:00:00+00:00,True
25,LG IdeaPad Sport,Eletrônicos,Notebooks,LG,4392.9,4392.9,True,3.5,1835,https://cdn.marketplace.com.br/img/25.jpg,2025-05-01 00:00:00+00:00,True
26,Xiaomi MacBook Classic,Eletrônicos,Notebooks,Xiaomi,2918.26,3076.89,True,3.4,1907,https://cdn.marketplace.com.br/img/26.jpg,2025-08-12 00:00:00+00:00,True
27,Samsung iPad Neo,Eletrônicos,Tablets,Samsung,2792.47,2974.52,True,3.7,1078,https://cdn.marketplace.com.br/img/27.jpg,2025-09-23 00:00:00+00:00,True
28,Motorola Cabo USB-C Prime,Eletrônicos,Acessórios,Motorola,373.45,472.37,True,4.9,269,https://cdn.marketplace.com.br/img/28.jpg,2025-08-31 00:00:00+00:00,False
29,Motorola iPad Prime,Eletrônicos,Tablets,Motorola,1195.74,1291.66,True,4.5,1932,https://cdn.marketplace.com.br/img/29.jpg,2025-08-26 00:00:00+00:00,True
30,Sony MacBook Classic,Eletrônicos,Notebooks,Sony,2201.55,3317.88,True,5.0,247,https://cdn.marketplace.com.br/img/30.jpg,2025-10-18 00:00:00+00:00,True
31,JBL Moto GUltra,Eletrônicos,Smartphones,JBL,515.98,515.98,False,4.6,453,https://cdn.marketplace.com.br/img/31.jpg,2025-06-12 00:00:00+00:00,True
32,LG Soundbar Pro,Eletrônicos,Áudio,LG,2350.04,2350.04,True,,0,https://cdn.marketplace.com.br/img/32.jpg,2025-05-01 00:00:00+00:00,False
33,Apple IdeaPad Sport,Eletrônicos,Notebooks,Apple,2530.05,2530.05,True,4.3,258,https://cdn.marketplace.com.br/img/33.jpg,2025-07-26 00:00:00+00:00,True
34,Xiaomi Aspire Pro,Eletrônicos,Notebooks,Xiaomi,2318.25,2318.25,True,3.9,1859,https://cdn.marketplace.com.br/img/34.jpg,2025-10-29 00:00:00+00:00,True
35,JBL Cabo USB-C Plus,Eletrônicos,Acessórios,JBL,242.77,242.77,True,2.9,970,https://cdn.marketplace.com.br/img/35.jpg,2025-10-04 00:00:00+00:00,True
36,Apple Cabo USB-C Plus,Eletrônicos,Acessórios,Apple,3163.17,3163.17,True,5.0,1301,https://cdn.marketplace.com.br/img/36.jpg,2025-04-28 00:00:00+00:00,True
37,Samsung MatePad Lite,Eletrônicos,Tablets,Samsung,1891.39,1891.39,True,5.0,217,https://cdn.marketplace.com.br/img/37.jpg,2025-01-12 00:00:00+00:00,True
38,Samsung Carregador Turbo Max,Eletrônicos,Acessórios,Samsung,1340.79,1976.45,True,,0,https://cdn.marketplace.com.br/img/38.jpg,2025-03-24 00:00:00+00:00,True
39,Apple MatePad Ultra,Eletrônicos,Tablets,Apple,503.84,503.84,True,3.4,1493,https://cdn.marketplace.com.br/img/39.jpg,2025-11-10 00:00:00+00:00,True
40,JBL Caixa de Som Sport,Eletrônicos,Áudio,JBL,334.82,334.82,True,3.6,658,https://cdn.marketplace.com.br/img/40.jpg,2025-05-08 00:00:00+00:00,True
41,Samsung Cabo USB-C Neo,Eletrônicos,Acessórios,Samsung,466.23,466.23,True,,0,https://cdn.marketplace.com.br/img/41.jpg,2025-03-25 00:00:00+00:00,True
42,Sony Headset Elite,Eletrônicos,Áudio,Sony,1902.54,1902.54,True,4.4,511,https://cdn.marketplace.com.br/img/42.jpg,2025-02-09 00:00:00+00:00,True
43,LG Capinha Neo,Eletrônicos,Acessórios,LG,3012.33,3540.07,True,3.3,1662,https://cdn.marketplace.com.br/img/43.jpg,2025-11-05 00:00:00+00:00,True
44,LG Galaxy Max,Eletrônicos,Smartphones,LG,2937.58,2937.58,True,2.6,1393,https://cdn.marketplace.com.br/img/44.jpg,2025-02-24 00:00:00+00:00,True
45,Motorola Notebook Ultra i5,Eletrônicos,Notebooks,Motorola,264.73,264.73,True,4.5,1465,https://cdn.marketplace.com.br/img/45.jpg,2025-11-16 00:00:00+00:00,True
46,JBL Redmi Note Prime,Eletrônicos,Smartphones,JBL,182.75,274.86,True,2.9,972,https://cdn.marketplace.com.br/img/46.jpg,2025-07-30 00:00:00+00:00,True
47,Apple Película Sport,Eletrônicos,Acessórios,Apple,997.98,1185.4,True,3.4,1225,https://cdn.marketplace.com.br/img/47.jpg,2025-06-04 00:00:00+00:00,True
48,Sony Headset Neo,Eletrônicos,Áudio,Sony,4751.41,4751.41,True,3.8,450,https://cdn.marketplace.com.br/img/48.jpg,2025-12-23 00:00:00+00:00,True
49,JBL Headset Elite,Eletrônicos,Áudio,JBL,1913.39,1913.39,True,4.0,63,https://cdn.marketplace.com.br/img/49.jpg,2025-05-30 00:00:00+00:00,True
50,Samsung Caixa de Som Classic,Eletrônicos,Áudio,Samsung,1962.53,2103.26,True,2.9,709,https://cdn.marketplace.com.br/img/50.jpg,2025-01-16 00:00:00+00:00,True
51,JBL Fone Bluetooth Sport,Eletrônicos,Áudio,JBL,3467.66,4255.65,True,,0,https://cdn.marketplace.com.br/img/51.jpg,2025-11-12 00:00:00+00:00,True
52,Samsung iPhone Elite,Eletrônicos,Smartphones,Samsung,159.71,159.71,True,3.4,1985,https://cdn.marketplace.com.br/img/52.jpg,2025-11-09 00:00:00+00:00,True
53,Samsung Tab SPrime,Eletrônicos,Tablets,Samsung,3787.83,3787.83,True,4.5,435,https://cdn.marketplace.com.br/img/53.jpg,2025-09-21 00:00:00+00:00,False
54,Apple MacBook Max,Eletrônicos,Notebooks,Apple,4525.49,4525.49,True,3.4,759,https://cdn.marketplace.com.br/img/54.jpg,2025-09-18 00:00:00+00:00,True
55,Apple Película Pro,Eletrônicos,Acessórios,Apple,2019.18,2485.88,True,4.9,53,https://cdn.marketplace.com.br/img/55.jpg,2025-06-11 00:00:00+00:00,True
56,Xiaomi MatePad Classic,Eletrônicos,Tablets,Xiaomi,2327.49,2327.49,True,3.1,900,https://cdn.marketplace.com.br/img/56.jpg,2025-07-02 00:00:00+00:00,True
57,JBL iPad Sport,Eletrônicos,Tablets,JBL,1157.95,1157.95,False,4.2,682,https://cdn.marketplace.com.br/img/57.jpg,2025-02-19 00:00:00+00:00,True
58,Samsung Soundbar Sport,Eletrônicos,Áudio,Samsung,3809.18,4476.28,True,3.8,214,https://cdn.marketplace.com.br/img/58.jpg,2025-05-08 00:00:00+00:00,True
59,Samsung Caixa de Som Lite,Eletrônicos,Áudio,Samsung,4040.6,4040.6,True,3.1,719,https://cdn.marketplace.com.br/img/59.jpg,2025-03-05 00:00:00+00:00,True
60,Motorola IdeaPad Elite,Eletrônicos,Notebooks,Motorola,3275.34,3616.45,True,,0,https://cdn.marketplace.com.br/img/60.jpg,2025-12-30 00:00:00+00:00,True
61,JBL Carregador Turbo Sport,Eletrônicos,Acessórios,JBL,1802.93,1802.93,True,,0,https://cdn.marketplace.com.br/img/61.jpg,2025-09-05 00:00:00+00:00,False
62,Samsung iPhone Classic,Eletrônicos,Smartphones,Samsung,4458.01,4458.01,True,3.8,111,https://cdn.marketplace.com.br/img/62.jpg,2025-05-19 00:00:00+00:00,True
63,Motorola Redmi Note Sport,Eletrônicos,Smartphones,Motorola,1454.59,1454.59,True,5.0,1762,https://cdn.marketplace.com.br/img/63.jpg,2025-02-21 00:00:00+00:00,True
64,JBL Pixel Neo,Eletrônicos,Smartphones,JBL,1858.42,1858.42,False,3.9,75,https://cdn.marketplace.com.br/img/64.jpg,2025-12-29 00:00:00+00:00,True
65,Sony Tab SPlus,Eletrônicos,Tablets,Sony,2805.88,2805.88,True,4.5,1324,https://cdn.marketplace.com.br/img/65.jpg,2025-08-22 00:00:00+00:00,True
66,Motorola Tab SLite,Eletrônicos,Tablets,Motorola,958.39,1249.83,True,2.9,1892,https://cdn.marketplace.com.br/img/66.jpg,2025-02-03 00:00:00+00:00,True
67,Apple Notebook Prime i5,Eletrônicos,Notebooks,Apple,2060.43,2767.06,True,,0,https://cdn.marketplace.com.br/img/67.jpg,2025-02-17 00:00:00+00:00,True
68,LG iPad Prime,Eletrônicos,Tablets,LG,2766.36,3981.63,True,4.0,1970,https://cdn.marketplace.com.br/img/68.jpg,2025-02-02 00:00:00+00:00,True
69,Motorola IdeaPad Max,Eletrônicos,Notebooks,Motorola,4635.82,4635.82,True,,0,https://cdn.marketplace.com.br/img/69.jpg,2025-01-18 00:00:00+00:00,True
