carrinho_id,cliente_id,data_criacao,data_ultima_atividade,data_abandono,status,motivo_abandono,valor_subtotal,valor_frete,valor_desconto,valor_total,duracao_sessao_minutos,dispositivo,browser,canal_origem,cliente_novo,tem_conta_criada,created_at,updated_at
1,256,2026-01-27 22:51:00+00:00,2026-01-28 00:05:00+00:00,,comprado,,301.21,7.28,0.0,308.49,74,mobile,Samsung Internet,facebook,False,True,2026-01-27 22:51:00+00:00,2026-01-28 00:05:00+00:00
2,805,2026-05-13 21:32:00+00:00,2026-05-13 21:38:00+00:00,2026-05-13 21:38:00+00:00,recuperado,preco,509.97,22.83,37.24,495.56,7,desktop,Chrome,facebook,False,True,2026-05-13 21:32:00+00:00,2026-05-13 21:38:00+00:00
3,931,2026-02-26 22:54:00+00:00,2026-02-27 00:18:00+00:00,,comprado,,501.28,11.14,0.0,512.42,84,mobile,Safari Mobile,google,False,True,2026-02-26 22:54:00+00:00,2026-02-27 00:18:00+00:00
4,388,2026-05-25 12:44:00+00:00,2026-05-25 12:59:00+00:00,2026-05-25 12:59:00+00:00,abandonado,frete,439.97,17.32,0.0,457.29,24,mobile,Safari Mobile,direct,False,True,2026-05-25 12:44:00+00:00,2026-05-25 12:59:00+00:00
5,1133,2026-01-08 23:51:00+00:00,2026-01-09 00:00:00+00:00,2026-01-09 00:00:00+00:00,abandonado,nao_informado,47.08,21.16,0.0,68.24,12,mobile,Safari Mobile,email,False,True,2026-01-08 23:51:00+00:00,2026-01-09 00:00:00+00:00
6,152,2026-02-19 14:59:00+00:00,2026-02-19 15:06:00+00:00,2026-02-19 15:06:00+00:00,abandonado,frete,243.88,28.78,0.0,272.66,8,mobile,Chrome Mobile,instagram,False,True,2026-02-19 14:59:00+00:00,2026-02-19 15:06:00+00:00
7,803,2026-04-04 23:52:00+00:00,2026-04-05 00:23:00+00:00,2026-04-05 00:23:00+00:00,abandonado,preco,96.43,37.83,0.0,134.26,36,tablet,Safari,google,True,True,2026-04-04 23:52:00+00:00,2026-04-05 00:23:00+00:00
8,592,2026-03-02 20:58:00+00:00,2026-03-02 21:05:00+00:00,2026-03-02 21:05:00+00:00,expirado,nao_informado,488.71,7.8,0.0,496.51,12,mobile,Samsung Internet,google,False,True,2026-03-02 20:58:00+00:00,2026-03-02 21:05:00+00:00
9,686,2026-06-07 13:56:00+00:00,2026-06-07 14:04:00+00:00,2026-06-07 14:04:00+00:00,abandonado,preco,672.01,10.13,0.0,682.14,12,desktop,Chrome,facebook,False,True,2026-06-07 13:56:00+00:00,2026-06-07 14:04:00+00:00
10,1176,2026-01-04 08:31:00+00:00,2026-01-04 08:36:00+00:00,2026-01-04 08:36:00+00:00,abandonado,frete,50.99,34.05,0.0,85.04,9,mobile,Samsung Internet,direct,False,True,2026-01-04 08:31:00+00:00,2026-01-04 08:36:00+00:00
11,1377,2026-03-23 17:06:00+00:00,2026-03-23 17:21:00+00:00,,comprado,,164.32,35.99,0.0,200.31,15,mobile,Safari Mobile,google,True,False,2026-03-23 17:06:00+00:00,2026-03-23 17:21:00+00:00
12,502,2026-01-17 20:27:00+00:00,2026-01-17 20:54:00+00:00,2026-01-17 20:54:00+00:00,expirado,nao_informado,1022.73,17.17,0.0,1039.9,29,tablet,Safari,google,True,True,2026-01-17 20:27:00+00:00,2026-01-17 20:54:00+00:00
13,624,2026-05-17 19:53:00+00:00,2026-05-17 20:51:00+00:00,,comprado,,797.98,24.44,0.0,822.42,58,desktop,Chrome,direct,True,True,2026-05-17 19:53:00+00:00,2026-05-17 20:51:00+00:00
14,1174,2026-06-01 17:57:00+00:00,2026-06-01 18:19:00+00:00,,ativo,,518.92,31.48,0.0,550.4,22,mobile,Samsung Internet,google,False,True,2026-06-01 17:57:00+00:00,2026-06-01 18:19:00+00:00
15,1180,2026-03-27 22:01:00+00:00,2026-03-27 22:14:00+00:00,,comprado,,688.17,6.7,0.0,694.87,13,mobile,Samsung Internet,direct,False,True,2026-03-27 22:01:00+00:00,2026-03-27 22:14:00+00:00
16,1462,2026-05-19 21:06:00+00:00,2026-05-19 21:16:00+00:00,2026-05-19 21:16:00+00:00,abandonado,pagamento,567.75,24.26,0.0,592.01,12,mobile,Safari Mobile,outros,True,True,2026-05-19 21:06:00+00:00,2026-05-19 21:16:00+00:00
17,357,2026-01-14 16:40:00+00:00,2026-01-14 16:50:00+00:00,2026-01-14 16:50:00+00:00,abandonado,frete,161.5,33.51,0.0,195.01,13,mobile,Samsung Internet,direct,False,True,2026-01-14 16:40:00+00:00,2026-01-14 16:50:00+00:00
18,194,2026-02-02 22:38:00+00:00,2026-02-02 23:22:00+00:00,,comprado,,517.73,25.97,0.0,543.7,44,mobile,Safari Mobile,google,False,True,2026-02-02 22:38:00+00:00,2026-02-02 23:22:00+00:00
19,815,2026-04-01 12:23:00+00:00,2026-04-01 12:40:00+00:00,2026-04-01 12:40:00+00:00,abandonado,pagamento,882.62,14.48,0.0,897.1,22,desktop,Firefox,instagram,False,True,2026-04-01 12:23:00+00:00,2026-04-01 12:40:00+00:00
20,562,2026-04-12 16:40:00+00:00,2026-04-12 17:08:00+00:00,,comprado,,212.63,44.68,0.0,257.31,28,mobile,Chrome Mobile,google,False,True,2026-04-12 16:40:00+00:00,2026-04-12 17:08:00+00:00
21,1156,2026-02-09 09:49:00+00:00,2026-02-09 10:07:00+00:00,2026-02-09 10:07:00+00:00,expirado,frete,328.29,21.98,0.0,350.27,33,mobile,Chrome Mobile,direct,False,True,2026-02-09 09:49:00+00:00,2026-02-09 10:07:00+00:00
22,932,2026-05-19 12:54:00+00:00,2026-05-19 13:00:00+00:00,2026-05-19 13:00:00+00:00,abandonado,frete,170.55,37.44,0.0,207.99,7,desktop,Edge,instagram,True,True,2026-05-19 12:54:00+00:00,2026-05-19 13:00:00+00:00
23,1097,2026-01-16 08:36:00+00:00,2026-01-16 09:14:00+00:00,,comprado,,122.55,42.8,0.0,165.35,38,desktop,Edge,google,False,True,2026-01-16 08:36:00+00:00,2026-01-16 09:14:00+00:00
24,171,2026-06-07 20:16:00+00:00,2026-06-07 20:33:00+00:00,,comprado,,958.58,44.34,0.0,1002.92,17,mobile,Samsung Internet,email,False,True,2026-06-07 20:16:00+00:00,2026-06-07 20:33:00+00:00
25,558,2026-03-02 14:32:00+00:00,2026-03-02 14:37:00+00:00,2026-03-02 14:37:00+00:00,abandonado,frete,147.04,42.73,0.0,189.77,3,mobile,Samsung Internet,google,True,True,2026-03-02 14:32:00+00:00,2026-03-02 14:37:00+00:00
26,118,2026-06-17 06:27:00+00:00,2026-06-17 06:59:00+00:00,,comprado,,363.75,43.46,0.0,407.21,32,mobile,Samsung Internet,direct,False,True,2026-06-17 06:27:00+00:00,2026-06-17 06:59:00+00:00
27,1323,2026-02-22 11:16:00+00:00,2026-02-22 11:21:00+00:00,2026-02-22 11:21:00+00:00,abandonado,frete,242.55,34.92,0.0,277.47,3,mobile,Samsung Internet,instagram,False,True,2026-02-22 11:16:00+00:00,2026-02-22 11:21:00+00:00
28,288,2026-02-15 23:49:00+00:00,2026-02-16 00:07:00+00:00,2026-02-16 00:07:00+00:00,abandonado,indecisao,173.94,31.04,0.0,204.98,33,tablet,Safari,google,True,False,2026-02-15 23:49:00+00:00,2026-02-16 00:07:00+00:00
29,63,2026-03-04 23:04:00+00:00,2026-03-04 23:34:00+00:00,2026-03-04 23:34:00+00:00,abandonado,indecisao,309.22,5.72,0.0,314.94,37,tablet,Safari,google,False,True,2026-03-04 23:04:00+00:00,2026-03-04 23:34:00+00:00
30,1359,2026-02-18 17:06:00+00:00,2026-02-18 17:21:00+00:00,2026-02-18 17:21:00+00:00,abandonado,pagamento,361.27,10.99,0.0,372.26,32,desktop,Chrome,google,False,True,2026-02-18 17:06:00+00:00,2026-02-18 17:21:00+00:00
31,297,2026-01-04 18:46:00+00:00,2026-01-04 19:19:00+00:00,,ativo,,352.99,14.75,0.0,367.74,33,mobile,Chrome Mobile,google,False,True,2026-01-04 18:46:00+00:00,2026-01-04 19:19:00+00:00
32,623,2026-06-21 08:57:00+00:00,2026-06-21 09:02:00+00:00,2026-06-21 09:02:00+00:00,abandonado,pagamento,467.59,6.3,0.0,473.89,3,mobile,Safari Mobile,google,False,True,2026-06-21 08:57:00+00:00,2026-06-21 09:02:00+00:00
33,907,2026-06-04 18:28:00+00:00,2026-06-04 18:48:00+00:00,,comprado,,363.07,18.24,0.0,381.31,20,mobile,Safari Mobile,direct,False,True,2026-06-04 18:28:00+00:00,2026-06-04 18:48:00+00:00
34,64,2026-03-23 13:00:00+00:00,2026-03-23 13:09:00+00:00,2026-03-23 13:09:00+00:00,abandonado,nao_informado,468.24,39.65,0.0,507.89,13,mobile,Chrome Mobile,instagram,False,True,2026-03-23 13:00:00+00:00,2026-03-23 13:09:00+00:00
