carrinho_id,cliente_id,data_criacao,data_ultima_atividade,data_abandono,status,motivo_abandono,valor_subtotal,valor_frete,valor_desconto,valor_total,duracao_sessao_minutos,dispositivo,browser,canal_origem,cliente_novo,tem_conta_criada,created_at,updated_at
1,256,2026-01-28 01:57:00+00:00,2026-01-28 03:11:00+00:00,,comprado,,301.21,7.28,0.0,308.49,74,mobile,Samsung Internet,facebook,False,True,2026-01-28 01:57:00+00:00,2026-01-28 03:11:00+00:00
2,729,2026-02-01 19:54:00+00:00,2026-02-01 20:02:00+00:00,2026-02-01 20:02:00+00:00,abandonado,indecisao,248.82,31.79,0.0,280.61,31,desktop,Chrome,direct,False,True,2026-02-01 19:54:00+00:00,2026-02-01 20:02:00+00:00
3,414,2026-04-27 17:16:00+00:00,2026-04-27 17:44:00+00:00,2026-04-27 17:44:00+00:00,abandonado,preco,332.62,15.58,0.0,348.2,38,desktop,Safari,direct,False,True,2026-04-27 17:16:00+00:00,2026-04-27 17:44:00+00:00
4,1110,2026-04-20 19:55:00+00:00,2026-04-20 20:08:00+00:00,2026-04-20 20:08:00+00:00,abandonado,indecisao,209.14,5.01,0.0,214.15,42,mobile,Chrome Mobile,direct,True,False,2026-04-20 19:55:00+00:00,2026-04-20 20:08:00+00:00
5,365,2026-02-24 13:34:00+00:00,2026-02-24 13:49:00+00:00,2026-02-24 13:49:00+00:00,abandonado,frete,504.4,25.13,0.0,529.53,26,mobile,Samsung Internet,facebook,False,True,2026-02-24 13:34:00+00:00,2026-02-24 13:49:00+00:00
6,555,2026-06-05 02:58:00+00:00,2026-06-05 03:29:00+00:00,2026-06-05 03:29:00+00:00,abandonado,preco,232.38,36.81,0.0,269.19,36,tablet,Safari,google,True,True,2026-06-05 02:58:00+00:00,2026-06-05 03:29:00+00:00
7,592,2026-03-03 00:04:00+00:00,2026-03-03 00:15:00+00:00,2026-03-03 00:15:00+00:00,expirado,nao_informado,26.87,16.3,0.0,43.17,12,mobile,Samsung Internet,google,False,True,2026-03-03 00:04:00+00:00,2026-03-03 00:15:00+00:00
8,249,2026-05-10 20:31:00+00:00,2026-05-10 20:38:00+00:00,2026-05-10 20:38:00+00:00,comprado,frete,86.96,14.68,12.78,88.86,22,desktop,Firefox,direct,False,True,2026-05-10 20:31:00+00:00,2026-05-10 20:38:00+00:00
9,913,2026-04-07 16:10:00+00:00,2026-04-07 16:48:00+00:00,2026-04-07 16:48:00+00:00,abandonado,preco,339.99,25.91,0.0,365.9,39,desktop,Firefox,email,False,True,2026-04-07 16:10:00+00:00,2026-04-07 16:48:00+00:00
10,571,2026-02-19 11:45:00+00:00,2026-02-19 11:51:00+00:00,2026-02-19 11:51:00+00:00,abandonado,indecisao,303.44,-5.06,0.0,298.38,17,mobile,Chrome Mobile,google,True,True,2026-02-19 11:45:00+00:00,2026-02-19 11:51:00+00:00
11,26,2026-06-27 01:19:00+00:00,2026-06-27 01:24:00+00:00,2026-06-27 01:24:00+00:00,abandonado,nao_informado,514.16,44.89,0.0,559.05,5,desktop,Firefox,google,False,True,2026-06-27 01:19:00+00:00,2026-06-27 01:24:00+00:00
12,1120,2026-05-26 19:53:00+00:00,2026-05-26 20:15:00+00:00,,ativo,,778.38,31.48,0.0,809.86,22,desktop,Edge,google,True,False,2026-05-26 19:53:00+00:00,2026-05-26 20:15:00+00:00
13,541,2026-04-25 12:46:00+00:00,2026-04-25 12:59:00+00:00,2026-04-25 12:59:00+00:00,comprado,nao_informado,261.69,19.4,37.14,243.95,26,desktop,Edge,email,False,True,2026-04-25 12:46:00+00:00,2026-04-25 12:59:00+00:00
14,1483,2026-02-05 18:13:00+00:00,2026-02-05 18:18:00+00:00,2026-02-05 18:18:00+00:00,comprado,frete,1058.5,32.7,90.59,1000.61,13,mobile,Safari Mobile,direct,False,True,2026-02-05 18:13:00+00:00,2026-02-05 18:18:00+00:00
15,583,2026-05-22 21:12:00+00:00,2026-05-22 21:39:00+00:00,2026-05-22 21:39:00+00:00,abandonado,estoque,470.51,26.57,0.0,497.08,41,desktop,Edge,facebook,True,True,2026-05-22 21:12:00+00:00,2026-05-22 21:39:00+00:00
16,1149,2026-04-09 18:47:00+00:00,2026-04-09 18:53:00+00:00,2026-04-09 18:53:00+00:00,comprado,indecisao,318.32,15.08,39.63,293.77,6,desktop,Edge,facebook,False,True,2026-04-09 18:47:00+00:00,2026-04-09 18:53:00+00:00
17,158,2026-05-09 21:29:00+00:00,2026-05-09 21:36:00+00:00,2026-05-09 21:36:00+00:00,abandonado,pagamento,148.55,25.19,0.0,173.74,15,tablet,Safari,instagram,False,True,2026-05-09 21:29:00+00:00,2026-05-09 21:36:00+00:00
18,108,2026-05-05 02:57:00+00:00,2026-05-05 03:40:00+00:00,,ativo,,359.06,18.78,0.0,377.84,43,mobile,Chrome Mobile,google,False,True,2026-05-05 02:57:00+00:00,2026-05-05 03:40:00+00:00
19,1102,2026-06-18 15:27:00+00:00,2026-06-18 15:35:00+00:00,2026-06-18 15:35:00+00:00,expirado,nao_informado,128.35,18.92,0.0,147.27,11,desktop,Safari,email,False,True,2026-06-18 15:27:00+00:00,2026-06-18 15:35:00+00:00
20,171,2026-06-07 23:22:00+00:00,2026-06-07 23:39:00+00:00,,comprado,,718.94,44.34,0.0,763.28,17,mobile,Samsung Internet,email,True,True,2026-06-07 23:22:00+00:00,2026-06-07 23:39:00+00:00
21,839,2026-03-03 23:06:00+00:00,2026-03-03 23:16:00+00:00,2026-03-03 23:16:00+00:00,abandonado,indecisao,75.86,43.65,0.0,119.51,42,tablet,Chrome,instagram,False,True,2026-03-03 23:06:00+00:00,2026-03-03 23:16:00+00:00
22,99,2026-05-13 20:01:00+00:00,2026-05-13 20:06:00+00:00,2026-05-13 20:06:00+00:00,abandonado,preco,614.0,39.78,0.0,653.78,14,mobile,Safari Mobile,email,True,False,2026-05-13 20:01:00+00:00,2026-05-13 20:06:00+00:00
23,288,2026-02-16 02:55:00+00:00,2026-02-16 03:18:00+00:00,2026-02-16 03:18:00+00:00,abandonado,nao_informado,239.01,41.36,0.0,280.37,33,tablet,Safari,google,False,True,2026-02-16 02:55:00+00:00,2026-02-16 03:18:00+00:00
24,217,2026-05-11 11:56:00+00:00,2026-05-11 12:17:00+00:00,,comprado,,125.09,36.64,0.0,161.73,21,mobile,Safari Mobile,google,False,True,2026-05-11 11:56:00+00:00,2026-05-11 12:17:00+00:00
