evento_id,carrinho_id,cliente_id,sessao_id,timestamp_evento,tipo_evento,duracao_evento_segundos,dados_evento
1,1,256,7646e38e-775,2026-01-27 22:51:00+00:00,view_produto,70.0,"{""produto_id"": 121, ""tempo_visualizacao_s"": 20, ""scroll_depth"": 0.78}"
2,1,256,7646e38e-775,2026-01-27 22:56:27+00:00,view_produto,74.0,"{""produto_id"": 216, ""tempo_visualizacao_s"": 51, ""scroll_depth"": 0.45}"
3,1,256,7646e38e-775,2026-01-27 23:07:11+00:00,view_produto,26.0,"{""produto_id"": 269, ""tempo_visualizacao_s"": 22, ""scroll_depth"": 0.86}"
4,1,256,7646e38e-775,2026-01-27 23:11:28+00:00,add_carrinho,32.0,"{""produto_id"": 271, ""quantidade"": 2, ""origem"": ""pagina_produto""}"
5,1,256,7646e38e-775,2026-01-27 23:16:12+00:00,view_produto,38.0,"{""produto_id"": 186, ""tempo_visualizacao_s"": 150, ""scroll_depth"": 0.35}"
6,1,256,7646e38e-775,2026-01-27 23:18:47+00:00,update_quantidade,106.0,"{""produto_id"": 137, ""quantidade_anterior"": 2, ""quantidade_nova"": 4}"
7,1,256,7646e38e-775,2026-01-27 23:21:30+00:00,remove_carrinho,65.0,"{""produto_id"": 43, ""motivo"": ""encontrou_melhor""}"
8,1,256,7646e38e-775,2026-01-27 23:25:03+00:00,add_carrinho,26.0,"{""produto_id"": 234, ""quantidade"": 3, ""origem"": ""recomendacao""}"
9,1,256,7646e38e-775,2026-01-27 23:32:20+00:00,update_quantidade,29.0,"{""produto_id"": 289, ""quantidade_anterior"": 1, ""quantidade_nova"": 4}"
10,1,256,7646e38e-775,2026-01-27 23:42:30+00:00,view_checkout,62.0,"{""etapa"": ""pagamento"", ""tempo_na_etapa_s"": 208}"
11,1,256,7646e38e-775,2026-01-27 23:52:17+00:00,inicio_pagamento,18.0,"{""metodo"": ""boleto"", ""parcelas"": 10}"
12,2,805,3cffd202-dd1,2026-05-13 21:32:00+00:00,view_produto,75.0,"{""produto_id"": 156, ""tempo_visualizacao_s"": 111, ""scroll_depth"": 0.81}"
13,2,805,3cffd202-dd1,2026-05-13 21:32:34+00:00,view_produto,80.0,"{""produto_id"": 230, ""tempo_visualizacao_s"": 28, ""scroll_depth"": 0.7}"
14,2,805,3cffd202-dd1,2026-05-13 21:32:58+00:00,add_carrinho,43.0,"{""produto_id"": 168, ""quantidade"": 2, ""origem"": ""recomendacao""}"
15,2,805,3cffd202-dd1,2026-05-13 21:33:38+00:00,update_quantidade,72.0,"{""produto_id"": 284, ""quantidade_anterior"": 3, ""quantidade_nova"": 4}"
16,2,805,3cffd202-dd1,2026-05-13 21:34:18+00:00,view_produto,16.0,"{""produto_id"": 61, ""tempo_visualizacao_s"": 60, ""scroll_depth"": 0.83}"
17,2,805,3cffd202-dd1,2026-05-13 21:35:01+00:00,remove_carrinho,39.0,"{""produto_id"": 43, ""motivo"": null}"
18,2,805,3cffd202-dd1,2026-05-13 21:35:10+00:00,update_quantidade,87.0,"{""produto_id"": 184, ""quantidade_anterior"": 3, ""quantidade_nova"": 2}"
19,2,805,3cffd202-dd1,2026-05-13 21:35:34+00:00,view_produto,109.0,"{""produto_id"": 44, ""tempo_visualizacao_s"": 14, ""scroll_depth"": 0.81}"
20,2,805,3cffd202-dd1,2026-05-13 21:36:16+00:00,view_produto,79.0,"{""produto_id"": 20, ""tempo_visualizacao_s"": 91, ""scroll_depth"": 0.93}"
21,2,805,3cffd202-dd1,2026-05-13 21:36:49+00:00,add_carrinho,115.0,"{""produto_id"": 210, ""quantidade"": 3, ""origem"": ""pagina_produto""}"
22,2,805,3cffd202-dd1,2026-05-13 21:37:06+00:00,view_produto,68.0,"{""produto_id"": 50, ""tempo_visualizacao_s"": 86, ""scroll_depth"": 0.55}"
