resgate_id,carrinho_id,cliente_id,canal,tipo_comunicacao,data_schedule,data_envio,assunto,desconto_oferecido,frete_gratis_oferecido,custo_envio,data_abertura,data_primeiro_clique,link_clicado,data_conversao,sucesso,valor_pedido_final,created_at
1,4,388,email,lembrete_1h,2026-05-25 13:59:00+00:00,2026-05-25 14:18:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,True,0.05,2026-05-25 14:36:00+00:00,,,,False,,2026-05-25 13:59:00+00:00
2,5,1133,email,lembrete_1h,2026-01-09 01:00:00+00:00,2026-01-09 01:27:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-01-09 01:00:00+00:00
3,7,803,email,lembrete_1h,2026-04-05 01:23:00+00:00,2026-04-05 01:47:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-04-05 18:52:00+00:00,2026-04-05 19:22:00+00:00,https://marketplace.com.br/carrinho/7?utm_source=email&utm_campaign=recovery,,False,,2026-04-05 01:23:00+00:00
4,9,686,email,lembrete_1h,2026-06-07 15:04:00+00:00,2026-06-07 15:13:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,,,,,False,,2026-06-07 15:04:00+00:00
5,10,1176,email,lembrete_1h,2026-01-04 09:36:00+00:00,2026-01-04 09:37:00+00:00,Seus produtos estão esperando por você!,0.0,True,0.05,,,,,False,,2026-01-04 09:36:00+00:00
6,10,1176,email,lembrete_24h,2026-01-05 08:36:00+00:00,2026-01-05 08:56:00+00:00,Não perca! Seus produtos podem acabar,0.0,False,0.05,,,,,False,,2026-01-05 08:36:00+00:00
7,16,1462,email,lembrete_1h,2026-05-19 22:16:00+00:00,2026-05-19 22:37:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,2026-05-20 21:31:00+00:00,,,,False,,2026-05-19 22:16:00+00:00
8,16,1462,email,lembrete_24h,2026-05-20 21:16:00+00:00,2026-05-20 21:27:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,,,,,False,,2026-05-20 21:16:00+00:00
9,17,357,email,lembrete_1h,2026-01-14 17:50:00+00:00,2026-01-14 18:09:00+00:00,Seus produtos estão esperando por você!,0.0,True,0.05,,,,,False,,2026-01-14 17:50:00+00:00
10,17,357,email,lembrete_24h,2026-01-15 16:50:00+00:00,2026-01-15 17:12:00+00:00,Última chance de garantir seus itens,0.0,True,0.05,,,,,False,,2026-01-15 16:50:00+00:00
11,19,815,email,lembrete_1h,2026-04-01 13:40:00+00:00,2026-04-01 13:56:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,2026-04-01 14:21:00+00:00,,,,False,,2026-04-01 13:40:00+00:00
12,21,1156,email,lembrete_1h,2026-02-09 11:07:00+00:00,2026-02-09 11:31:00+00:00,Seus produtos estão esperando por você!,0.0,True,0.05,2026-02-09 19:41:00+00:00,2026-02-09 20:35:00+00:00,https://marketplace.com.br/carrinho/21?utm_source=email&utm_campaign=recovery,,False,,2026-02-09 11:07:00+00:00
13,27,1323,email,lembrete_1h,2026-02-22 12:21:00+00:00,2026-02-22 12:37:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,2026-02-23 10:37:00+00:00,2026-02-23 11:24:00+00:00,https://marketplace.com.br/carrinho/27?utm_source=email&utm_campaign=recovery,,False,,2026-02-22 12:21:00+00:00
14,27,1323,email,lembrete_24h,2026-02-23 11:21:00+00:00,2026-02-23 11:26:00+00:00,Ainda pensando? Seus itens estão reservados ⏰,0.0,True,0.05,,,,,False,,2026-02-23 11:21:00+00:00
15,28,288,email,lembrete_1h,2026-02-16 01:07:00+00:00,2026-02-16 01:14:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-02-16 01:07:00+00:00
16,28,288,email,lembrete_24h,2026-02-17 00:07:00+00:00,2026-02-17 00:23:00+00:00,Última chance de garantir seus itens,0.0,False,0.05,2026-02-17 00:05:00+00:00,,,,False,,2026-02-17 00:07:00+00:00
17,30,1359,email,lembrete_1h,2026-02-18 18:21:00+00:00,2026-02-18 18:44:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,,,,,False,,2026-02-18 18:21:00+00:00
18,32,623,email,lembrete_1h,2026-06-21 10:02:00+00:00,2026-06-21 10:09:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,,,,,False,,2026-06-21 10:02:00+00:00
19,34,64,email,lembrete_1h,2026-03-23 14:09:00+00:00,2026-03-23 14:11:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,2026-03-24 08:29:00+00:00,,,,False,,2026-03-23 14:09:00+00:00
20,35,627,email,lembrete_1h,2026-02-10 13:53:00+00:00,2026-02-10 13:56:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-02-10 18:20:00+00:00,2026-02-10 19:17:00+00:00,https://marketplace.com.br/carrinho/35?utm_source=email&utm_campaign=recovery,,False,,2026-02-10 13:53:00+00:00
21,35,627,email,lembrete_24h,2026-02-11 12:53:00+00:00,2026-02-11 13:06:00+00:00,Não perca! Seus produtos podem acabar,0.0,True,0.05,,,,,False,,2026-02-11 12:53:00+00:00
22,35,627,email,desconto_48h,2026-02-12 12:53:00+00:00,2026-02-12 13:00:00+00:00,Presente para você: desconto exclusivo no seu carrinho,29.92,False,0.05,,,,,False,,2026-02-12 12:53:00+00:00
23,35,627,whatsapp,urgencia_72h,2026-02-13 12:53:00+00:00,2026-02-13 13:21:00+00:00,Não deixe escapar: melhor oferta no seu carrinho,48.18,True,0.3,,,,,False,,2026-02-13 12:53:00+00:00
24,36,872,email,lembrete_1h,2026-05-06 23:06:00+00:00,2026-05-06 23:06:00+00:00,Seus produtos estão esperando por você!,0.0,False,0.05,,,,,False,,2026-05-06 23:06:00+00:00
25,37,633,email,lembrete_1h,2026-05-06 22:10:00+00:00,2026-05-06 22:23:00+00:00,Finalize sua compra antes que acabe!,0.0,False,0.05,,,,,False,,2026-05-06 22:10:00+00:00
26,38,20,email,lembrete_1h,2026-06-02 08:13:00+00:00,2026-06-02 08:34:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-06-02 11:20:00+00:00,,,,False,,2026-06-02 08:13:00+00:00
27,42,1197,email,lembrete_1h,2026-02-13 11:40:00+00:00,2026-02-13 12:06:00+00:00,Você esqueceu algo no carrinho 🛒,0.0,False,0.05,2026-02-14 05:18:00+00:00,,,,False,,2026-02-13 11:40:00+00:00
28,42,1197,email,lembrete_24h,2026-02-14 10:40:00+00:00,2026-02-14 11:02:00+00:00,Ainda pensando? Seus itens estão reservados ⏰,0.0,False,0.05,,,,,False,,2026-02-14 10:40:00+00:00
29,42,1197,sms,desconto_48h,2026-02-15 10:40:00+00:00,2026-02-15 11:01:00+00:00,Economize agora! Oferta limitada no seu carrinho,2.85,False,0.15,,,,,False,,2026-02-15 10:40:00+00:00
