item_id,carrinho_id,produto_id,quantidade,preco_unitario,preco_total,data_adicao,data_remocao
1,1,55,1,3073.28,3073.28,2026-01-28 02:16:00+00:00,
2,1,265,1,111.18,111.18,2026-01-28 03:06:00+00:00,2026-01-28 03:10:00+00:00
3,2,233,2,210.06,420.12,2026-02-01 20:01:00+00:00,
4,2,217,1,189.33,189.33,2026-02-01 20:07:00+00:00,
5,2,121,1,106.93,106.93,2026-02-01 20:01:00+00:00,
6,2,197,2,210.68,421.36,2026-02-01 20:07:00+00:00,2026-02-01 20:08:00+00:00
7,3,41,1,3810.12,3810.12,2026-04-27 17:25:00+00:00,2026-04-27 17:39:00+00:00
8,3,15,1,4316.06,4316.06,2026-04-27 17:27:00+00:00,
9,4,49,1,1086.18,1086.18,2026-04-20 20:25:00+00:00,
10,5,110,2,123.11,246.22,2026-02-24 13:38:00+00:00,
11,5,76,1,344.35,344.35,2026-02-24 13:37:00+00:00,
12,6,172,1,2428.21,2428.21,2026-06-05 03:04:00+00:00,
13,7,140,1,585.19,585.19,2026-03-03 00:07:00+00:00,2026-03-03 00:11:00+00:00
14,7,275,2,176.04,352.08,2026-03-03 00:05:00+00:00,
15,7,186,1,588.49,588.49,2026-03-03 00:13:00+00:00,
16,8,19,1,4645.08,4645.08,2026-05-10 20:36:00+00:00,2026-05-10 20:51:00+00:00
17,8,13,2,1535.84,3071.68,2026-05-10 20:44:00+00:00,2026-05-10 20:48:00+00:00
18,8,68,1,5563.16,5563.16,2026-05-10 20:48:00+00:00,
19,9,42,1,2946.39,2946.39,2026-04-07 16:11:00+00:00,
20,9,152,2,1852.54,3705.08,2026-04-07 16:47:00+00:00,
21,10,260,1,9.55,9.55,2026-02-19 11:46:00+00:00,2026-02-19 11:57:00+00:00
22,10,44,1,3105.36,3105.36,2026-02-19 11:53:00+00:00,
23,10,265,2,111.18,222.36,2026-02-19 11:49:00+00:00,
24,11,71,1,1149.66,1149.66,2026-06-27 01:20:00+00:00,
25,11,75,1,494.48,494.48,2026-06-27 01:20:00+00:00,
26,11,152,1,1852.54,1852.54,2026-06-27 01:22:00+00:00,
27,11,202,1,694.87,694.87,2026-06-27 01:23:00+00:00,
28,12,134,1,77.78,77.78,2026-05-26 19:54:00+00:00,
29,12,167,1,1689.24,1689.24,2026-05-26 20:02:00+00:00,
30,12,299,1,336.66,336.66,2026-05-26 20:10:00+00:00,
31,13,135,1,344.81,344.81,2026-04-25 12:47:00+00:00,
32,13,172,2,2460.71,4921.42,2026-04-25 13:01:00+00:00,
33,14,136,1,258.2,258.2,2026-02-05 18:13:00+00:00,
34,14,33,1,3774.15,3774.15,2026-02-05 18:13:00+00:00,2026-02-05 18:22:00+00:00
35,14,127,1,426.13,426.13,2026-02-05 18:20:00+00:00,2026-02-05 18:22:00+00:00
36,14,284,1,186.7,186.7,2026-02-05 18:15:00+00:00,
37,15,259,1,54.76,54.76,2026-05-22 21:20:00+00:00,
38,15,58,2,1615.07,3230.14,2026-05-22 21:15:00+00:00,
39,16,36,1,3119.0,3119.0,2026-04-09 18:52:00+00:00,
40,17,291,1,87.7,87.7,2026-05-09 21:32:00+00:00,
41,17,53,1,3558.1,3558.1,2026-05-09 21:38:00+00:00,
42,17,38,1,3493.86,3493.86,2026-05-09 21:43:00+00:00,2026-05-09 21:44:00+00:00
43,18,161,1,1297.98,1297.98,2026-05-05 03:09:00+00:00,
44,18,68,2,5462.76,10925.52,2026-05-05 03:12:00+00:00,2026-05-05 03:34:00+00:00
45,18,299,1,324.27,324.27,2026-05-05 03:23:00+00:00,
46,19,55,1,3073.28,3073.28,2026-06-18 15:28:00+00:00,
47,19,91,2,312.13,624.26,2026-06-18 15:31:00+00:00,
