pedido_id,carrinho_id,cliente_id,data_pedido,valor_subtotal,valor_frete,valor_desconto,valor_total,metodo_pagamento,status_pedido,origem_recuperacao,resgate_id,created_at
1,1,256,2026-01-28 00:05:00+00:00,301.21,7.28,0.0,308.49,pix,cancelado,False,,2026-01-28 00:05:00+00:00
2,3,931,2026-02-27 00:18:00+00:00,501.28,11.14,0.0,512.42,cartao_credito,entregue,False,,2026-02-27 00:18:00+00:00
3,11,1377,2026-03-23 17:21:00+00:00,164.32,35.99,0.0,200.31,cartao_credito,entregue,False,,2026-03-23 17:21:00+00:00
4,13,624,2026-05-17 20:51:00+00:00,797.98,24.44,0.0,822.42,cartao_credito,entregue,False,,2026-05-17 20:51:00+00:00
5,15,1180,2026-03-27 22:14:00+00:00,688.17,6.7,0.0,694.87,cartao_credito,enviado,False,,2026-03-27 22:14:00+00:00
6,18,194,2026-02-02 23:22:00+00:00,517.73,25.97,0.0,543.7,pix,confirmado,False,,2026-02-02 23:22:00+00:00
7,20,562,2026-04-12 17:08:00+00:00,212.63,44.68,0.0,257.31,pix,enviado,False,,2026-04-12 17:08:00+00:00
8,23,1097,2026-01-16 09:14:00+00:00,122.55,42.8,0.0,165.35,cartao_credito,enviado,False,,2026-01-16 09:14:00+00:00
9,24,171,2026-06-07 20:33:00+00:00,958.58,44.34,0.0,1002.92,pix,entregue,False,,2026-06-07 20:33:00+00:00
10,26,118,2026-06-17 06:59:00+00:00,363.75,43.46,0.0,407.21,pix,enviado,False,,2026-06-17 06:59:00+00:00
11,33,907,2026-06-04 18:48:00+00:00,363.07,18.24,0.0,381.31,boleto,confirmado,False,,2026-06-04 18:48:00+00:00
12,38,20,2026-06-02 07:25:00+00:00,214.83,29.47,25.87,218.43,cartao_credito,confirmado,True,,2026-06-02 07:25:00+00:00
13,39,850,2026-06-06 00:54:00+00:00,533.48,25.28,0.0,558.76,boleto,entregue,False,,2026-06-06 00:54:00+00:00
14,44,1177,2026-04-10 18:59:00+00:00,367.8,34.5,0.0,402.3,cartao_credito,entregue,False,,2026-04-10 18:59:00+00:00
15,47,600,2026-01-11 22:55:00+00:00,283.75,29.34,0.0,313.09,cartao_credito,enviado,False,,2026-01-11 22:55:00+00:00
16,56,1111,2026-02-28 13:34:00+00:00,575.9,6.29,0.0,582.19,cartao_credito,enviado,False,,2026-02-28 13:34:00+00:00
17,57,140,2026-01-28 07:54:00+00:00,129.97,19.34,0.0,149.31,pix,entregue,False,,2026-01-28 07:54:00+00:00
18,59,77,2026-01-15 20:06:00+00:00,532.31,38.11,0.0,570.42,cartao_credito,entregue,False,,2026-01-15 20:06:00+00:00
19,62,193,2026-03-10 09:22:00+00:00,262.28,23.36,0.0,285.64,cartao_credito,enviado,False,,2026-03-10 09:22:00+00:00
20,64,211,2026-06-07 13:18:00+00:00,90.92,42.87,0.0,133.79,cartao_credito,entregue,False,,2026-06-07 13:18:00+00:00
21,68,808,2026-01-01 22:48:00+00:00,202.52,20.89,18.53,204.88,cartao_credito,enviado,True,,2026-01-01 22:48:00+00:00
22,73,954,2026-04-06 20:15:00+00:00,286.3,21.78,0.0,308.08,pix,entregue,False,,2026-04-06 20:15:00+00:00
23,75,174,2026-05-22 12:32:00+00:00,181.02,31.95,15.8,197.17,pix,entregue,True,,2026-05-22 12:32:00+00:00
24,78,659,2026-02-13 18:48:00+00:00,148.48,16.27,0.0,164.75,cartao_credito,cancelado,False,,2026-02-13 18:48:00+00:00
25,80,981,2026-06-24 01:12:00+00:00,459.36,24.99,0.0,484.35,pix,entregue,False,,2026-06-24 01:12:00+00:00
26,83,1042,2026-01-01 17:24:00+00:00,241.58,26.95,0.0,268.53,cartao_credito,enviado,False,,2026-01-01 17:24:00+00:00
27,84,105,2026-03-22 20:05:00+00:00,324.01,28.21,19.9,332.32,pix,entregue,True,,2026-03-22 20:05:00+00:00
28,89,326,2026-03-17 14:15:00+00:00,69.84,32.86,0.0,102.7,pix,entregue,False,,2026-03-17 14:15:00+00:00
29,97,1237,2026-04-02 10:44:00+00:00,130.95,8.76,0.0,139.71,cartao_credito,confirmado,False,,2026-04-02 10:44:00+00:00
30,99,1164,2026-06-01 08:47:00+00:00,643.58,30.02,0.0,673.6,cartao_credito,entregue,False,,2026-06-01 08:47:00+00:00
31,101,1106,2026-04-06 22:42:00+00:00,292.31,22.89,0.0,315.2,cartao_credito,enviado,False,,2026-04-06 22:42:00+00:00
32,105,868,2026-02-07 14:41:00+00:00,266.79,43.41,0.0,310.2,boleto,confirmado,False,,2026-02-07 14:41:00+00:00
33,114,1417,2026-05-27 15:09:00+00:00,55.59,0.0,8.32,47.27,boleto,entregue,True,,2026-05-27 15:09:00+00:00
34,119,1223,2026-04-23 08:47:00+00:00,60.64,22.16,0.0,82.8,pix,entregue,False,,2026-04-23 08:47:00+00:00
35,128,99,2026-06-18 09:39:00+00:00,190.6,16.38,11.96,195.02,cartao_credito,entregue,True,,2026-06-18 09:39:00+00:00
36,131,1160,2026-03-05 18:20:00+00:00,919.17,29.8,116.24,832.73,boleto,entregue,True,,2026-03-05 18:20:00+00:00
37,132,284,2026-03-17 15:48:00+00:00,931.44,43.79,0.0,975.23,cartao_debito,entregue,False,,2026-03-17 15:48:00+00:00
38,137,1036,2026-05-08 10:54:00+00:00,408.37,18.48,0.0,426.85,cartao_credito,enviado,False,,2026-05-08 10:54:00+00:00
39,138,394,2026-01-11 22:39:00+00:00,219.07,0.0,0.0,219.07,cartao_credito,entregue,False,,2026-01-11 22:39:00+00:00
40,142,494,2026-03-22 16:09:00+00:00,728.02,24.64,0.0,752.66,cartao_credito,entregue,False,,2026-03-22 16:09:00+00:00
41,150,846,2026-04-04 21:19:00+00:00,163.51,33.02,21.66,174.87,boleto,entregue,True,,2026-04-04 21:19:00+00:00
42,155,720,2026-06-25 08:48:00+00:00,209.47,44.73,0.0,254.2,cartao_debito,confirmado,False,,2026-06-25 08:48:00+00:00
43,159,1398,2026-06-25 19:19:00+00:00,496.78,30.62,0.0,527.4,cartao_credito,entregue,False,,2026-06-25 19:19:00+00:00
44,168,626,2026-04-23 19:39:00+00:00,0.0,34.85,0.0,34.85,boleto,enviado,False,,2026-04-23 19:39:00+00:00
45,175,216,2026-05-05 19:29:00+00:00,490.01,25.23,0.0,515.24,cartao_credito,entregue,False,,2026-05-05 19:29:00+00:00
