produto_id,nome,categoria,subcategoria,marca,preco_atual,preco_original,em_estoque,avaliacao_media,total_avaliacoes,url_imagem,data_cadastro,ativo
1,Apple Carregador Turbo Classic,Eletrônicos,Acessórios,Apple,1491.48,1491.48,True,5.0,563,https://cdn.marketplace.com.br/img/1.jpg,2025-01-03 03:06:00+00:00,True
2,JBL MatePad Prime,Eletrônicos,Tablets,JBL,594.8,893.99,True,3.6,565,https://cdn.marketplace.com.br/img/2.jpg,2025-01-27 03:06:00+00:00,True
3,JBL Película Max,Eletrônicos,Acessórios,JBL,3418.94,4551.04,True,4.0,816,https://cdn.marketplace.com.br/img/3.jpg,2025-04-06 03:06:00+00:00,True
4,Sony Pixel Plus,Eletrônicos,Smartphones,Sony,2721.38,2721.38,True,4.5,1181,https://cdn.marketplace.com.br/img/4.jpg,2025-12-18 03:06:00+00:00,False
5,Samsung Moto GElite,Eletrônicos,Smartphones,Samsung,77.23,77.23,True,3.6,41,https://cdn.marketplace.com.br/img/5.jpg,2025-12-05 03:06:00+00:00,True
6,Samsung Aspire Prime,Eletrônicos,Notebooks,Samsung,1589.26,1589.26,True,3.3,961,https://cdn.marketplace.com.br/img/6.jpg,2025-05-20 03:06:00+00:00,True
7,JBL iPhone Prime,Eletrônicos,Smartphones,JBL,3866.19,3866.19,True,2.7,96,https://cdn.marketplace.com.br/img/7.jpg,2025-05-25 03:06:00+00:00,True
8,JBL Tab SPrime,Eletrônicos,Tablets,JBL,996.01,1484.17,True,4.6,1052,https://cdn.marketplace.com.br/img/8.jpg,2025-09-16 03:06:00+00:00,True
9,Apple MatePad Classic,Eletrônicos,Tablets,Apple,1431.77,1624.02,True,3.8,649,https://cdn.marketplace.com.br/img/9.jpg,2025-02-18 03:06:00+00:00,True
10,LG Capinha Neo,Eletrônicos,Acessórios,LG,1132.78,1132.78,True,,0,https://cdn.marketplace.com.br/img/10.jpg,2025-11-11 03:06:00+00:00,True
11,Samsung Tab SPro,Eletrônicos,Tablets,Samsung,3277.67,4988.72,True,,0,https://cdn.marketplace.com.br/img/11.jpg,2025-05-23 03:06:00+00:00,True
12,JBL Aspire Sport,Eletrônicos,Notebooks,JBL,3688.57,4928.87,True,3.6,280,https://cdn.marketplace.com.br/img/12.jpg,2025-02-11 03:06:00+00:00,True
13,LG Tab SClassic,Eletrônicos,Tablets,LG,1535.84,1637.76,True,2.6,864,https://cdn.marketplace.com.br/img/13.jpg,2025-06-17 03:06:00+00:00,True
14,Samsung IdeaPad Classic,Eletrônicos,Notebooks,Samsung,611.59,611.59,True,3.9,346,https://cdn.marketplace.com.br/img/14.jpg,2025-09-12 03:06:00+00:00,True
15,Samsung Aspire Ultra,Eletrônicos,Notebooks,Samsung,4506.97,4506.97,True,4.3,587,https://cdn.marketplace.com.br/img/15.jpg,2025-09-11 03:06:00+00:00,True
16,Sony Capinha Classic,Eletrônicos,Acessórios,Sony,3006.67,3334.23,False,4.8,1705,https://cdn.marketplace.com.br/img/16.jpg,2025-07-25 03:06:00+00:00,True
17,LG Capinha Pro,Eletrônicos,Acessórios,LG,1574.8,1574.8,True,4.1,563,https://cdn.marketplace.com.br/img/17.jpg,2025-04-13 03:06:00+00:00,True
18,Motorola Galaxy Ultra,Eletrônicos,Smartphones,Motorola,1189.32,1189.32,True,3.8,1196,https://cdn.marketplace.com.br/img/18.jpg,2025-05-27 03:06:00+00:00,True
19,Motorola Tab SUltra,Eletrônicos,Tablets,Motorola,4645.08,4645.08,True,3.1,1185,https://cdn.marketplace.com.br/img/19.jpg,2025-04-21 03:06:00+00:00,True
20,LG MacBook Sport,Eletrônicos,Notebooks,LG,4129.15,4653.48,True,2.6,490,https://cdn.marketplace.com.br/img/20.jpg,2025-04-04 03:06:00+00:00,True
21,Apple Headset Sport,Eletrônicos,Áudio,Apple,4059.96,4059.96,True,4.3,512,https://cdn.marketplace.com.br/img/21.jpg,2025-08-13 03:06:00+00:00,True
22,Apple Carregador Turbo Prime,Eletrônicos,Acessórios,Apple,3376.43,3376.43,True,4.7,570,https://cdn.marketplace.com.br/img/22.jpg,2025-01-25 03:06:00+00:00,False
23,Motorola Tab SPro,Eletrônicos,Tablets,Motorola,2739.34,4147.85,True,5.0,936,https://cdn.marketplace.com.br/img/23.jpg,2025-02-28 03:06:00+00:00,True
24,Sony IdeaPad Pro,Eletrônicos,Notebooks,Sony,2024.06,2024.06,True,3.2,1854,https://cdn.marketplace.com.br/img/24.jpg,2025-03-29 03:06:00+00:00,True
25,Apple iPhone Pro,Eletrônicos,Smartphones,Apple,2064.49,2239.54,True,5.0,581,https://cdn.marketplace.com.br/img/25.jpg,2025-03-30 03:06:00+00:00,False
