item_id,carrinho_id,produto_id,quantidade,preco_unitario,preco_total,data_adicao,data_remocao
1,1,55,1,2019.18,2019.18,2026-01-27 23:10:00+00:00,
2,1,265,1,25.25,25.25,2026-01-28 00:00:00+00:00,2026-01-28 00:14:00+00:00
3,2,231,2,199.45,398.9,2026-05-13 21:33:00+00:00,
4,2,195,1,154.42,154.42,2026-05-13 21:35:00+00:00,
5,2,120,1,478.07,478.07,2026-05-13 21:33:00+00:00,
6,2,237,2,16.0,32.0,2026-05-13 21:35:00+00:00,2026-05-13 21:36:00+00:00
7,3,293,1,468.7,468.7,2026-02-26 22:59:00+00:00,
8,4,31,1,515.98,515.98,2026-05-25 13:01:00+00:00,
9,5,40,3,318.96,956.88,2026-01-08 23:54:00+00:00,
10,7,192,1,463.2,463.2,2026-04-04 23:57:00+00:00,
11,7,115,1,157.02,157.02,2026-04-04 23:56:00+00:00,
12,8,273,1,125.08,125.08,2026-03-02 21:00:00+00:00,
13,9,261,2,86.35,172.7,2026-06-07 13:57:00+00:00,
14,9,250,1,7.41,7.41,2026-06-07 13:56:00+00:00,
15,9,60,1,3275.34,3275.34,2026-06-07 14:04:00+00:00,
16,9,202,1,611.38,611.38,2026-06-07 14:01:00+00:00,
17,10,62,2,4458.01,8916.02,2026-01-04 08:32:00+00:00,2026-01-04 08:37:00+00:00
18,10,267,2,134.73,269.46,2026-01-04 08:33:00+00:00,2026-01-04 08:39:00+00:00
19,10,277,1,158.56,158.56,2026-01-04 08:37:00+00:00,
20,11,284,2,110.01,220.02,2026-03-23 17:07:00+00:00,
21,11,200,1,200.16,200.16,2026-03-23 17:09:00+00:00,2026-03-23 17:15:00+00:00
22,11,272,2,123.52,247.04,2026-03-23 17:16:00+00:00,
23,11,19,1,2910.04,2910.04,2026-03-23 17:06:00+00:00,
24,12,92,2,311.64,623.28,2026-01-17 20:28:00+00:00,
25,12,180,2,81.43,162.86,2026-01-17 20:44:00+00:00,
26,12,207,1,1034.78,1034.78,2026-01-17 20:34:00+00:00,
27,13,105,2,374.92,749.84,2026-05-17 20:01:00+00:00,2026-05-17 20:41:00+00:00
28,13,185,1,315.73,315.73,2026-05-17 20:00:00+00:00,
29,13,21,1,1574.8,1574.8,2026-05-17 19:54:00+00:00,
30,13,126,2,213.49,426.98,2026-05-17 20:10:00+00:00,
31,14,244,2,55.52,111.04,2026-06-01 18:04:00+00:00,
32,14,280,2,298.34,596.68,2026-06-01 17:59:00+00:00,
33,16,67,2,2060.43,4120.86,2026-05-19 21:07:00+00:00,
34,16,22,1,3080.25,3080.25,2026-05-19 21:11:00+00:00,2026-05-19 21:15:00+00:00
35,16,252,2,37.98,75.96,2026-05-19 21:06:00+00:00,
36,17,180,1,81.43,81.43,2026-01-14 16:42:00+00:00,2026-01-14 16:47:00+00:00
37,17,43,1,3012.33,3012.33,2026-01-14 16:47:00+00:00,
38,17,258,3,116.45,349.35,2026-01-14 16:48:00+00:00,
39,18,99,1,49.25,49.25,2026-02-02 22:41:00+00:00,
40,18,202,1,611.38,611.38,2026-02-02 22:52:00+00:00,
41,18,230,1,151.49,151.49,2026-02-02 23:02:00+00:00,2026-02-02 23:18:00+00:00
42,19,106,1,66.94,66.94,2026-04-01 12:25:00+00:00,
43,19,253,1,99.09,99.09,2026-04-01 12:28:00+00:00,
44,19,262,1,106.38,106.38,2026-04-01 12:23:00+00:00,2026-04-01 12:29:00+00:00
45,19,95,1,312.83,312.83,2026-04-01 12:44:00+00:00,2026-04-01 12:45:00+00:00
